title,authors_abbrev,year,venue,abstract,doi_link,filter1,filter2,filter3,filter4,filter5,info1,info2,info3
"Interaction, Comprehension, and Instruction Usage",Alterman et al.,1991,Journal of the Learning Sciences,"This article explores the learning of common practice in a community of agents. We focus on how learning occurs ""out in the world,"" rather than on learning as it occurs in the classroom. The emphasis of this article is that much of the learning of practice is guided by comprehension processes. We take as prima facie evidence for this the ubiquitousness of instructions. We present a concrete model of the comprehension processes that occur when interacting with an unfamiliar device. An important focus is on the usage of instructions.",http://www.tandfonline.com/doi/abs/10.1080/10508406.1991.9671975,[framework] Communities of Practice;[framework] Situated Cognition;,[pedagogy] Communities of Practice;,[method] Case Study Research;,,adaptability;conceptual understanding;inclusion;,,,
Causal Models and Experimentation Strategies in Scientific Reasoning,Schauble et al.,1991,Journal of the Learning Sciences,"This study explores how novices' conceptions about electric circuits affected their self-directed experimentation in a computer-based circuit laboratory. The participants, 22 undergraduates with no formal college instruction in physics, worked individually on an initial problem to assess their conceptual models of circuits and in subsequent sessions on open-ended experimentation with the computer laboratory, attempted to rediscover the laws of electric circuits. Analysis of the initial problem identified four conceptual models in students' solutions. Lower level models were local, piecemeal, and represented the surface features of the materials, whereas higher level models were progressively more cohesive, integrated, and principled. Relationswere found between students' causal models and their learning gains in the computer laboratory. Good and poor learners with the laboratory were identified; these groups showed strategic differencesin goal-directedplanning, generating and interpreting evidence, and managing data. In general, sophisticatedmodels in the initial problem were related to sophisticated reasoning in the computer discovery task. It is suggested that research oriented to the improvement of science learning should attend to interactive relationships between prior conceptions, inference strategies, and the structure of domain-specific knowledge.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0102_3,,,[method] Case Study Research;[method] Interview Methods;,[setting] higher education;[subject] physics;[subject] science;,,,,
Functionality in Analogical Transfer: A Hard Match is Good to Find,Hammond et al.,1991,Journal of the Learning Sciences,"This article is concerned with the study of analogy and memory as viewed from the perspectives of both artificial intelligence (AI) and psychology. Its aim is to combine what seem to be two distinct and conflicting approaches to memory-the functional approach of A1 and the empirical approach of psychology-and propose a unified view that does not compromise the nature of either field yet resolves the existing conflicts between them. To do this we propose a shift away from the narrow view of analogical reminding as an isolated memory behavior and toward a more general view of memory as a process that serves the needs of planning, problem solving, and understanding. This shift involves changes to both the functional arguments that have arisen in A1 and a reexamination of the empirical evidence that has been presented in psychology.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0102_1,,,[method] Comparative Analysis;,,mediation;memory;problem solving;,,,
"Learning to Predict and Explain: An Integration of Similarity-Based, Theory-Driven, and Explanation-Based Learning",Pazzani,1991,Journal of the Learning Sciences,"We analyze the types of information that human learners rely on in the acquisition of predictive and explanatory knowledge. We present OCCAM, a computational model of this learning task that integrates three learning methods: similarity-based learning (SBL), explanation-based learning (EBL), and theory-driven learning (TDL). We focus on the strengths and weaknesses of each learning method and describe how they can be integrated in a complementary fashion. The goal of this integration is to provide a learning architecture that accounts for the effects of prior knowledge on human learning. The integration helps to explain how a learner can learn rapidly when new experiences are consistent with prior knowledge while still retaining the ability to learn in novel domains (although more slowly). In addition, we present experimental evidence that an integrated model converges on accurate concepts more rapidly than either method applied individually. OCCAM is unique among learning models in that it can make use of data-intensive learning methods to acquire the knowledge needed for knowledge-intensive learning.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0102_2,[framework] Theory-Driven Learning (TDL);,,[method] Computational Modeling;[method] Experimental Design;,[technology] computational modeling;,evidence;,,,
A Theory of Questions and Question Asking,Ram,1991,Journal of the Learning Sciences,"This article focuses on knowledge goals, that is, the goals of a reasoner to acquire or reorganize knowledge. Knowledge goals, often expressed as questions, arise when the reasoner's model of the domain is inadequate in some reasoning situation. This leads the reasoner to focus on the knowledge it needs, to formulate questions to acquire this knowledge, and to learn by pursuing its questions. I develop a theory of questions and of question asking, motivated both by cognitive and computational considerations, and I discuss the theory in the context of the task of story understanding. I present a computer model of an active reader that learns about novel domains by reading newspaper stories.",http://www.tandfonline.com/doi/abs/10.1080/10508406.1991.9671973,[framework] Cognitive Theory;,,[method] Computational Modeling;,[subject] literacy;[technology] computational modeling;[technology] mobile devices;,creativity;knowledge;,,,
Empowering the Student: New Perspectives on the Design of Teaching Systems,Schank & Jona,1991,Journal of the Learning Sciences,"Most efforts in making computer-based teachers have not tried to change the standard teaching methods commonly used in schools today to any significant degree. We survey several of these methods of teaching and examine both their strengths and weaknesses. We then introduce six new teaching architectures, defined as a kind of general blueprint or framework that embodies a particular approach to teaching. We argue that using the power of the computer-based teaching medium, such teaching architectures can be designed to exploit the strengths of standard teaching methods while avoiding many of the pitfalls. Finally, we present a perspective on the role of computers in education, arguing that one of the main problems facing education today is students lack of control over the instruction they receive. As a first step in remedying this problem, we propose that educational software should provide students with a set of ""teaching buttons"" that will allow them to communicate easily with a computer-based teacher and thus more fully gain control over their interaction with the system. An example of the current version of our set of teaching buttons is also presented.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0101_2,[framework] Conceptual Design;,,[method] Comparative Analysis;,[technology] computer-based instruction;,,,,
The Journal of the Learning Sciences: Effecting Changes in Education,Kolodner,1991,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0101_1,,,[method] EDITORIAL;,,,,,
Plausible Generalization: Extending a Model of Human Plausible Reasoning,Burstein et al.,1991,Journal of the Learning Sciences,"Transcripts of people answering questions or carrying on dialogues about everyday matters are filled with plausible inferences-inferences that are not certain, but that make sense. The same patterns of inferences occur in many different contexts. Often, in forming these inferences, people make generalizations that are equally uncertain but nevertheless are useful guides to reasoning. This article describes some important extensions to our earlier description of a core theory of plausible reasoning, based in large part on a new protocol study. The extensions are both data driven and theory driven. The primary focus here is on the inductive inference patterns people use to form plausible generalizations, that is, weakly held beliefs based on few examples but annotated with the same forms of certainty and similarity information that supported the inferential patterns described in our earlier work. We also provide examples of qualitative reasoning with inequalities and extend our formalism to cover that type of reasoning.",http://www.tandfonline.com/doi/abs/10.1080/10508406.1991.9671974,,,[method] Computational Modeling;[method] Discourse Analysis;[method] Protocol Analysis;,[technology] computational modeling;,trust;,,,
Higher Levels of Agency for Children in Knowledge Building: A Challenge for the Design of New Knowledge Media,Scardamalia & Bereiter,1991,Journal of the Learning Sciences,"Although adults and children both have zones of proximal development in which more knowledgeable others play essential roles, there is a difference in executive control that is most salient in question-answer dialogue. Adult learners typically ask questions based on their perceived knowledge needs, whereas with school children, questions are typically asked by the teacher, based on the teacher's perception of the child's needs. Evidence shows that children can produce and recognize educationally productive questions and can adapt them to their knowledge needs. The challenge is to design environments in which students can use such questions to guide their building of knowledge, thus assuming a higher level of agency in learning. Computer Supported Intentional Learning Environments (CSILE), a computer-supported knowledge medium designed to support intentional learning, is described, with illustrations of children's use of it in cooperative knowledge building.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0101_3,[framework] Conceptual Framework;[framework] Knowledge Building (KB);,,,[population] children;[population] teachers;[setting] classrooms;,agency;collaboration;,,,
Three Levels of Goal Orientation in Learning,Ng & Bereiter,1991,Journal of the Learning Sciences,"Sixteen adult volunteers provided thinking-aloud protocols while undergoing a 10-hr individually administered course in BASIC (beginner's all-purpose symbolicinstruction code) programming. Three levels of goals were identified as operative in the learning situation: task-completion goals, instructional goals, and personal knowledge-building goals. Although protocol statements indicating knowledge-building goals were infrequent, students exhibiting a relatively high proportion of them were distinctive in several ways. They did significantly better on a posttest. Their performance in goal cue selections differed from that of other participants in ways consistent with their orientation: They responded more often to learning goal cues than to task goal cues. They actively related new learning to prior knowledge and they posed and tried to solve problems and questions. Students oriented toward instructional goals tended to focus on what was explicitly taught. Students oriented toward task-completion goals tended to equate learning with successful completion of assigned tasks. Level of goal orientation and posttest performance were unrelated to level of education and prior computer experience but were positively related to previous experience of independent learning",http://www.tandfonline.com/doi/abs/10.1080/10508406.1991.9671972,,,[method] Experimental Design;[method] Think-Aloud Protocols;,[population] adult learners;[subject] computer science / programming;[technology] computer-based instruction;,gender;motivation;,,,
